Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Event Id,Event Date,Event Duration
32.70117188,523,8,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.703125,523,6,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.70507813,523,38,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.70703125,523,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.70898438,523,59,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7109375,523,67,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.71289063,523,52,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.71484375,523,41,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.71679688,523,32,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.71875,523,52,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.72070313,523,76,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.72265625,523,33,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.72460938,523,2,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7265625,523,7,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.72851563,523,18,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.73046875,523,38,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.73242188,523,58,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.734375,523,64,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.73632813,523,50,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.73828125,523,23,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.74023438,523,19,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7421875,523,22,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.74414063,523,9,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.74609375,523,11,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.74804688,523,35,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.75,524,64,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.75195313,524,66,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.75390625,524,70,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.75585938,524,73,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7578125,524,42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.75976563,524,20,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.76171875,524,42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.76367188,524,88,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.765625,524,138,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.76757813,524,122,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.76953125,524,65,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.77148438,524,42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7734375,524,33,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.77539063,524,27,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.77734375,524,23,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.77929688,524,28,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.78125,524,45,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.78320313,524,65,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.78515625,524,87,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.78710938,524,107,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.7890625,524,121,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.79101563,524,128,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.79296875,524,120,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.79492188,524,96,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.796875,524,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.79882813,524,57,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.80078125,524,102,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.80273438,524,144,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8046875,524,147,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.80664063,524,120,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.80859375,524,124,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.81054688,524,128,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8125,525,74,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.81445313,525,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.81640625,525,75,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.81835938,525,68,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8203125,525,56,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.82226563,525,74,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.82421875,525,98,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.82617188,525,96,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.828125,525,82,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.83007813,525,69,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.83203125,525,66,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.83398438,525,74,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8359375,525,72,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.83789063,525,38,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.83984375,525,33,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.84179688,525,36,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.84375,525,28,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.84570313,525,44,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.84765625,525,86,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.84960938,525,133,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8515625,525,115,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.85351563,525,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.85546875,525,21,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.85742188,525,28,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.859375,525,58,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.86132813,525,84,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.86328125,525,69,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.86523438,525,18,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8671875,525,-17,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.86914063,525,-37,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.87109375,525,-37,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.87304688,525,16,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.875,526,52,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.87695313,526,48,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.87890625,526,21,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.88085938,526,40,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8828125,526,49,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.88476563,526,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.88671875,526,76,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.88867188,526,89,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.890625,526,98,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.89257813,526,89,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.89453125,526,59,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.89648438,526,72,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.8984375,526,97,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.90039063,526,88,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.90234375,526,60,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.90429688,526,48,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.90625,526,53,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.90820313,526,48,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.91015625,526,10,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.91210938,526,-19,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9140625,526,-27,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.91601563,526,-30,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.91796875,526,-40,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.91992188,526,-44,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.921875,526,-18,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.92382813,526,34,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.92578125,526,54,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.92773438,526,22,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9296875,526,-6,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.93164063,526,5,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.93359375,526,12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.93554688,526,4,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9375,527,-2,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.93945313,527,20,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.94140625,527,65,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
